2024-12-04 20:30:14 status unpacked make:amd64 4.3-4.1
2024-12-04 20:30:14 install dpkg-dev:all <none> 1.21.22
2024-12-04 20:30:14 status half-installed dpkg-dev:all 1.21.22
2024-12-04 20:30:14 status unpacked dpkg-dev:all 1.21.22
2024-12-04 20:30:14 install fonts-dejavu-core:all <none> 2.37-6
2024-12-04 20:30:14 status half-installed fonts-dejavu-core:all 2.37-6
2024-12-04 20:30:14 status unpacked fonts-dejavu-core:all 2.37-6
2024-12-04 20:30:14 install fontconfig-config:amd64 <none> 2.14.1-4
2024-12-04 20:30:14 status half-installed fontconfig-config:amd64 2.14.1-4
2024-12-04 20:30:14 status unpacked fontconfig-config:amd64 2.14.1-4
2024-12-04 20:30:14 install libcc1-0:amd64 <none> 12.2.0-14
2024-12-04 20:30:14 status half-installed libcc1-0:amd64 12.2.0-14
2024-12-04 20:30:14 status unpacked libcc1-0:amd64 12.2.0-14
2024-12-04 20:30:14 install libgomp1:amd64 <none> 12.2.0-14
2024-12-04 20:30:14 status half-installed libgomp1:amd64 12.2.0-14
2024-12-04 20:30:14 status unpacked libgomp1:amd64 12.2.0-14
2024-12-04 20:30:14 install libitm1:amd64 <none> 12.2.0-14
2024-12-04 20:30:14 status half-installed libitm1:amd64 12.2.0-14
2024-12-04 20:30:14 status unpacked libitm1:amd64 12.2.0-14
2024-12-04 20:30:14 install libatomic1:amd64 <none> 12.2.0-14
2024-12-04 20:30:14 status half-installed libatomic1:amd64 12.2.0-14
2024-12-04 20:30:14 status unpacked libatomic1:amd64 12.2.0-14
2024-12-04 20:30:14 install libasan8:amd64 <none> 12.2.0-14
2024-12-04 20:30:14 status half-installed libasan8:amd64 12.2.0-14
2024-12-04 20:30:14 status unpacked libasan8:amd64 12.2.0-14
2024-12-04 20:30:14 install liblsan0:amd64 <none> 12.2.0-14
2024-12-04 20:30:14 status half-installed liblsan0:amd64 12.2.0-14
2024-12-04 20:30:14 status unpacked liblsan0:amd64 12.2.0-14
2024-12-04 20:30:14 install libtsan2:amd64 <none> 12.2.0-14
2024-12-04 20:30:14 status half-installed libtsan2:amd64 12.2.0-14
2024-12-04 20:30:14 status unpacked libtsan2:amd64 12.2.0-14
2024-12-04 20:30:14 install libubsan1:amd64 <none> 12.2.0-14
2024-12-04 20:30:14 status half-installed libubsan1:amd64 12.2.0-14
2024-12-04 20:30:14 status unpacked libubsan1:amd64 12.2.0-14
2024-12-04 20:30:14 install libquadmath0:amd64 <none> 12.2.0-14
2024-12-04 20:30:14 status half-installed libquadmath0:amd64 12.2.0-14
2024-12-04 20:30:14 status unpacked libquadmath0:amd64 12.2.0-14
2024-12-04 20:30:14 install libgcc-12-dev:amd64 <none> 12.2.0-14
2024-12-04 20:30:14 status half-installed libgcc-12-dev:amd64 12.2.0-14
2024-12-04 20:30:15 status unpacked libgcc-12-dev:amd64 12.2.0-14
2024-12-04 20:30:15 install gcc-12:amd64 <none> 12.2.0-14
2024-12-04 20:30:15 status half-installed gcc-12:amd64 12.2.0-14
2024-12-04 20:30:15 status unpacked gcc-12:amd64 12.2.0-14
2024-12-04 20:30:15 install gcc:amd64 <none> 4:12.2.0-3
2024-12-04 20:30:15 status half-installed gcc:amd64 4:12.2.0-3
2024-12-04 20:30:15 status unpacked gcc:amd64 4:12.2.0-3
2024-12-04 20:30:15 install gnupg-l10n:all <none> 2.2.40-1.1
2024-12-04 20:30:15 status half-installed gnupg-l10n:all 2.2.40-1.1
2024-12-04 20:30:15 status unpacked gnupg-l10n:all 2.2.40-1.1
2024-12-04 20:30:15 install gnupg-utils:amd64 <none> 2.2.40-1.1
2024-12-04 20:30:15 status half-installed gnupg-utils:amd64 2.2.40-1.1
2024-12-04 20:30:15 status unpacked gnupg-utils:amd64 2.2.40-1.1
2024-12-04 20:30:15 install libsqlite3-0:amd64 <none> 3.40.1-2+deb12u1
2024-12-04 20:30:15 status half-installed libsqlite3-0:amd64 3.40.1-2+deb12u1
2024-12-04 20:30:15 status unpacked libsqlite3-0:amd64 3.40.1-2+deb12u1
2024-12-04 20:30:15 install gpg:amd64 <none> 2.2.40-1.1
2024-12-04 20:30:15 status half-installed gpg:amd64 2.2.40-1.1
2024-12-04 20:30:16 status unpacked gpg:amd64 2.2.40-1.1
2024-12-04 20:30:16 install libncursesw6:amd64 <none> 6.4-4
2024-12-04 20:30:16 status half-installed libncursesw6:amd64 6.4-4
2024-12-04 20:30:16 status unpacked libncursesw6:amd64 6.4-4
2024-12-04 20:30:16 install pinentry-curses:amd64 <none> 1.2.1-1
2024-12-04 20:30:16 status half-installed pinentry-curses:amd64 1.2.1-1
2024-12-04 20:30:16 status unpacked pinentry-curses:amd64 1.2.1-1
2024-12-04 20:30:16 install gpg-agent:amd64 <none> 2.2.40-1.1
2024-12-04 20:30:16 status half-installed gpg-agent:amd64 2.2.40-1.1
2024-12-04 20:30:16 status unpacked gpg-agent:amd64 2.2.40-1.1
2024-12-04 20:30:16 install gpg-wks-client:amd64 <none> 2.2.40-1.1
2024-12-04 20:30:16 status half-installed gpg-wks-client:amd64 2.2.40-1.1
2024-12-04 20:30:16 status unpacked gpg-wks-client:amd64 2.2.40-1.1
2024-12-04 20:30:16 install gpg-wks-server:amd64 <none> 2.2.40-1.1
2024-12-04 20:30:16 status half-installed gpg-wks-server:amd64 2.2.40-1.1
2024-12-04 20:30:16 status unpacked gpg-wks-server:amd64 2.2.40-1.1
2024-12-04 20:30:16 install gpgsm:amd64 <none> 2.2.40-1.1
2024-12-04 20:30:16 status half-installed gpgsm:amd64 2.2.40-1.1
2024-12-04 20:30:16 status unpacked gpgsm:amd64 2.2.40-1.1
2024-12-04 20:30:16 install gnupg:all <none> 2.2.40-1.1
2024-12-04 20:30:16 status half-installed gnupg:all 2.2.40-1.1
2024-12-04 20:30:16 status unpacked gnupg:all 2.2.40-1.1
2024-12-04 20:30:16 install libbluetooth3:amd64 <none> 5.66-1+deb12u2
2024-12-04 20:30:16 status half-installed libbluetooth3:amd64 5.66-1+deb12u2
2024-12-04 20:30:16 status unpacked libbluetooth3:amd64 5.66-1+deb12u2
2024-12-04 20:30:16 install libc-dev-bin:amd64 <none> 2.36-9+deb12u9
2024-12-04 20:30:16 status half-installed libc-dev-bin:amd64 2.36-9+deb12u9
2024-12-04 20:30:16 status unpacked libc-dev-bin:amd64 2.36-9+deb12u9
2024-12-04 20:30:16 install linux-libc-dev:amd64 <none> 6.1.119-1
2024-12-04 20:30:16 status half-installed linux-libc-dev:amd64 6.1.119-1
2024-12-04 20:30:16 status unpacked linux-libc-dev:amd64 6.1.119-1
2024-12-04 20:30:16 install libcrypt-dev:amd64 <none> 1:4.4.33-2
2024-12-04 20:30:16 status half-installed libcrypt-dev:amd64 1:4.4.33-2
2024-12-04 20:30:16 status unpacked libcrypt-dev:amd64 1:4.4.33-2
2024-12-04 20:30:16 install libkrb5support0:amd64 <none> 1.20.1-2+deb12u2
2024-12-04 20:30:16 status half-installed libkrb5support0:amd64 1.20.1-2+deb12u2
2024-12-04 20:30:16 status unpacked libkrb5support0:amd64 1.20.1-2+deb12u2
2024-12-04 20:30:16 install libk5crypto3:amd64 <none> 1.20.1-2+deb12u2
2024-12-04 20:30:16 status half-installed libk5crypto3:amd64 1.20.1-2+deb12u2
2024-12-04 20:30:16 status unpacked libk5crypto3:amd64 1.20.1-2+deb12u2
2024-12-04 20:30:16 install libkeyutils1:amd64 <none> 1.6.3-2
2024-12-04 20:30:16 status half-installed libkeyutils1:amd64 1.6.3-2
2024-12-04 20:30:16 status unpacked libkeyutils1:amd64 1.6.3-2
2024-12-04 20:30:16 install libkrb5-3:amd64 <none> 1.20.1-2+deb12u2
2024-12-04 20:30:16 status half-installed libkrb5-3:amd64 1.20.1-2+deb12u2
2024-12-04 20:30:16 status unpacked libkrb5-3:amd64 1.20.1-2+deb12u2
2024-12-04 20:30:16 install libgssapi-krb5-2:amd64 <none> 1.20.1-2+deb12u2
2024-12-04 20:30:16 status half-installed libgssapi-krb5-2:amd64 1.20.1-2+deb12u2
2024-12-04 20:30:16 status unpacked libgssapi-krb5-2:amd64 1.20.1-2+deb12u2
2024-12-04 20:30:16 install libtirpc-common:all <none> 1.3.3+ds-1
2024-12-04 20:30:16 status half-installed libtirpc-common:all 1.3.3+ds-1
2024-12-04 20:30:16 status unpacked libtirpc-common:all 1.3.3+ds-1
2024-12-04 20:30:16 install libtirpc3:amd64 <none> 1.3.3+ds-1
2024-12-04 20:30:16 status half-installed libtirpc3:amd64 1.3.3+ds-1
2024-12-04 20:30:16 status unpacked libtirpc3:amd64 1.3.3+ds-1
2024-12-04 20:30:16 install libnsl2:amd64 <none> 1.3.0-2
2024-12-04 20:30:16 status half-installed libnsl2:amd64 1.3.0-2
2024-12-04 20:30:16 status unpacked libnsl2:amd64 1.3.0-2
